1,Kérdés,Helyes / Rossz válasz,,Helyes / Rossz válasz,,Helyes / Rossz válasz,,,
292,"Melyik táblával tiltják általánosan, de csak az előzést? ",1,N,2,I,3,N,teszt-0163.jpg,teszt-0163.jpg
293,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,kötelékek kivételével tilos az előzés!,N,tilos mindenféle előzés!,N,kötelékek egymás közötti előzése tilos!,I,teszt-2577.jpg,teszt-2577.jpg
294,Melyik táblával/táblákkal tiltják kötelékek egymás közötti előzését?,Az 1-es és a 2-es tábla.,I,A 2-es és a 3-as tábla.,N,Az 1-es és a 3-as tábla.,N,teszt-0165.jpg,teszt-0165.jpg
295,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,magányos hajók kivételével tilos a találkozás és az előzés!,N,kötelékek kivételével tilos a találkozás és az előzés!,N,tilos a találkozás és előzés!,I,teszt-2578.jpg,teszt-2578.jpg
296,Melyik táblával jelzik a találkozás és előzés általános tilalmát?,1,N,2,N,3,I,teszt-0163.jpg,teszt-0163.jpg
297,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,kötelékek egymás közötti találkozása és előzése tilos!,I,kötelékek kivételével tilos a találkozás és az előzés!,N,"találkozni tilos, de az előzés megengedett!",N,teszt-0168.jpg,teszt-0168.jpg
298,Mit jelöl a képen látható 1. számú tábla? A tábla,a kiegészítő közlekedési rend hatálya alá tartozó víziút szakaszának kezdetét jelzi.,N,"tiltja a veszteglést (horgonyon vagy a parthoz kikötve) a víziútnak azon az oldalán és szakaszán, ahol azt elhelyezték.",I,a víziút veszteglésre kijelölt szakaszának végét jelzi.,N,teszt-3348.jpg,teszt-3348.jpg
299,Mi a jelentése az ábrán látható tábláknak?,A jelek közti 600 m hosszú szakaszon vesztegelni (horgonyon vagy parthoz kikötve) tilos!,I,A jelek között 600 m-nél hosszabb kötelék nem vesztegelhet.,N,A parttól 600 m távolságig tilos a veszteglés (horgonyon vagy parthoz kikötve)!,N,teszt-0171.jpg,teszt-0171.jpg
300,Melyik táblával jelölik a veszteglésre tiltott vízterület szélességét?,1,I,2,N,3,N,xxx-0194.jpg,xxx-0194.jpg
301,Mi a jelentése a képen látható 1. számú táblának? A tábla tiltja a,"horgonyzást, horgony, kötél és lánc vonszolását a kiegészítő jelzések hatálya alá tartozó vízterületen.",I,a veszteglést horgonyon vagy parthoz kikötve a kiegészítő jelzések hatálya alá tartozó vízterületen.,N,"a horgonyzást, horgony, kötél és lánc vonszolását a kiegészítő jelzések hatálya alá tartozó vízterületen túl.",N,teszt-3352.jpg,teszt-3352.jpg
302,Mi a jelentése az ábrán látható tábláknak?,50 méternél rövidebb horgonylánccal rendelkező hajó horgonyzása tilos!,N,A jelzések közti szakaszon legkevesebb 50 m hosszú horgonyláncot kell használni!,N,"A jelzések közti 50 m hosszú szakaszon horgonyozni, horgonyt, kötelet és láncot vonszolni tilos!",I,teszt-0172.jpg,teszt-0172.jpg
303,Mit jelent a tábla,Tilos a parti kötél használat!,N,A kiépített kikötőbak használata veszélyes!,N,Tilos a parthoz kikötni!,I,teszt-0173.jpg,teszt-0173.jpg
304,Mi a táblák jelentése? A víziút táblákkal jelzett szakaszán,túl tilos megfordulni!,N,tilos megfordulni!,I,"fokozott elővigyázat, veszélyes áramlási viszonyok!",N,teszt-2588.jpg,teszt-2588.jpg
305,Mi a táblák jelentése? A víziút táblákkal jelölt szakaszán,a csatornahatás miatt csökkentse sebességét!,N,veszélyes hullámok alakulhatnak ki!,N,hullámzást kelteni tilos!,I,teszt-0178.jpg,teszt-0178.jpg
306,Melyik állandó fényjelzéssel jelezhetik a hullámkeltés tilalmát?,1,I,2,N,3,N,teszt-0182.jpg,teszt-0182.jpg
307,Mit jelent a hídon látható két tábla? A hídnyílás (fehérrel) jelzett,területen kívül (annál szélesebben) tilos az átjárót igénybe venni!,I,területe szűkületet képez!,N,területen kívül magasság- és mélységkorlátozásra kell számítani!,N,teszt-3355.jpg,teszt-3355.jpg
308,Mit jelöl a duzzasztómű 3-as számmal jelzett nyílása felett látható (két darab vörös-fehér rombusz alakú) tábla?,A két tábla a (fehérrel) jelzett területen kívüli magasság- és mélységkorlátozást jelzi!,N,A duzzasztómű jelzett része felnyitható.,N,"A duzzasztóműnyílás (fehérrel) jelzett területén kívül, annál szélesebben tilos az átjárót igénybe venni!",I,teszt-0184.jpg,teszt-0184.jpg
309,Mit jelentenek az ábrán látható (vörös és zöld) fények?,"Az áthaladás tilos, de az induláshoz készüljön fel!",I,Magasság- vagy mélységkorlátozás figyelembe vételével az áthaladás engedélyezett!,N,Az áthaladás rövid időn múlva tiltott lesz!,N,teszt-0186.jpg,teszt-0186.jpg
310,Mi a tábla jelentése? A táblával megjelölt vízterületen,géphajók közlekedése tilos!,I,géphajónak nem tekinthető hajók közlekedése tilos!,N,tilos belsőégésű motorral hajtott fedélzeti gépüzemi berendezések működtetése!,N,xxx-0197.jpg,xxx-0197.jpg
311,Mi a tábla jelentése? A táblával megjelölt vízterületen,tilos kedvtelési célú vízijárművek közlekedése!,I,tilos mindenféle sporttevékenység!,N,sportverseny miatt a hajózás tilos!,N,xxx-0363.jpg,xxx-0363.jpg
312,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,a vízisízés tilos!,I,kötélvontatású eszközök alkalmazása tilos!,N,"vízisíverseny zajlik, tilos a behajózás!",N,xxx-0288.jpg,xxx-0288.jpg
313,Melyik táblával jelölik a vitorlás hajóval való közlekedés tilalmát?,1,N,2,N,3,I,xxx-0201.jpg,xxx-0201.jpg
314,Melyik táblával jelölik a vitorlás deszkával való közlekedés tilalmát?,1,I,2,N,3,N,xxx-0202.jpg,xxx-0202.jpg
315,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,géphajónak és vitorlás hajónak nem minősülő hajók kivételével más hajók közlekedése tilos!,N,géphajónak és vitorlás hajónak nem minősülő hajók közlekedése tilos!,I,"evezős verseny, behajózni tilos!",N,xxx-0290.jpg,xxx-0290.jpg
316,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,tilos vitorláshajóval közlekedni!,N,Fvitorlás deszka közlekedésére kijelölt pálya vége!,N,tilos vitorlás deszkával közlekedni!,I,xxx-0291.jpg,xxx-0291.jpg
317,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,sporthajók nagysebességű közlekedése tiltott!,N,géphajók közlekedése a nagysebességű hajók kivételével tilos!,N,vége a sport és kedvtelési kishajók nagy sebességű közlekedésére engedélyezett zónának!,I,xxx-0292.jpg,xxx-0292.jpg
318,Mi a tábla jelentése?,Hajók vízrebocsátása és partra húzása tilos!,I,A sólyapálya használata tilos!,N,"Meredek partszakasz, utánfutó használata tilos!",N,teszt-3357.jpg,teszt-3357.jpg
319,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,motoros vízi sporteszköz nagysebességű közlekedése tiltott!,N,motoros vízi sporteszközzel közlekedni tilos!,I,"kijelölt sportpálya, sport- és kedvtelési célú hajóval tilos közlekedni!",N,xxx-0294.jpg,xxx-0294.jpg
320,Mit jelent a tábla?,"A nyíllal jelzett irányban hajózási korlátozás, tudakozódjon!",N,A nyíllal jelzett irányban tilos hajózni!,N,A nyíllal jelzett irányban köteles haladni!,I,teszt-2590.jpg,teszt-2590.jpg
321,Mit jelent a képen látható 1-es számú tábla?,"Kitérési kötelezettség balra, a víziút táblával megjelölt szakaszán!",N,Köteles a hajóútnak a hajó bal oldala felé eső részére hajózni!,I,Köteles a víziút bal partja mentén hajózni!,N,teszt-0326.jpg,teszt-0326.jpg
322,Mit jelent a képen látható 1-es számú tábla?,Köteles a hajóútnak a hajó jobb oldala felé eső részére hajózni!,I,Köteles a víziút jobb partja mentén hajózni!,N,"Kitérési kötelezettség jobbra, a víziút táblával megjelölt szakaszán!",N,teszt-0316.jpg,teszt-0316.jpg
323,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,a folyamatos nyíl irányába haladó hajó elsőbbséget élvez az ellentétes irányból közeledővel szemben!,N,"iránytartási kötelezettség, köteles a hajóút jobb oldalán haladni!",N,"iránytartási kötelezettség, köteles a hajóútnak a hajó jobb oldala felé eső oldalán haladni!",I,teszt-3360.jpg,teszt-3360.jpg
324,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,találkozni és előzni tilos!,N,"iránytartási kötelezettség, köteles a hajóút bal oldalán haladni!",N,"iránytartási kötelezettség, köteles a hajóútnak a hajó bal oldala felé eső oldalán haladni!",I,teszt-0202.jpg,teszt-0202.jpg
325,Mit jelent a képen látható 3-as számú tábla?,Köteles a víziút bal partja mentén hajózni!,N,Köteles a hajóútnak a hajó bal oldala felé eső oldalán hajózni!,I,"Iránytartási kötelezettség, köteles a hajóút bal oldalán haladni!",N,teszt-0317.jpg,teszt-0317.jpg
326,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,köteles a hajóútnak a hajó bal oldala felé eső oldalára áthajózni!,I,köteles a víziút bal parti oldalba áthajózni!,N,tilos a keresztezés!,N,teszt-3362.jpg,teszt-3362.jpg
327,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,köteles a hajóútnak a hajó jobb oldala felé eső oldalára áthajózni!,I,a hajóút keresztezésekor a hajóút jobb oldala felé tartónak van elsőbbsége!,N,köteles a hajóút jobb part felőli oldalára áthajózni!,N,teszt-0206.jpg,teszt-0206.jpg
328,Egy zsilip felé hajózva a képen látható jelzéseket látja. Mit jelöl a 2-es számú tábla?,A kötelező haladási irányt jelöl!,N,Egy hosszú figyelmeztető hangjeladási kötelezettséget jelez!,N,"Megállási kötelezettséget jelöl a tábla előtt, ha a zsilipbe a tiltó jelzés miatt nem lehet behajózni!",I,teszt-3366.jpg,teszt-3366.jpg
329,Egy nyitható híd felé hajózva a képen látható jelzéseket észleli. Mit jelöl a parton elhelyezett tábla?,"Megállási kötelezettséget jelöl a tábla előtt, ha a híd zárt állapota miatt nem tudunk ott áthajózni!",I,A nyitható híd térségében a fokozott elővigyázatot jelez!,N,"Azt jelzi, hogy a híd nyitásár egy hosszú hangjelzéssel lehet kezdeményezni!",N,teszt-3369.jpg,teszt-3369.jpg
330,Mit jelent a képen látható tábla?,"A hajóút eltávolodik a parttól, a hajóknak a táblában feltüntetett távolságot (5 métert) kell tartaniuk!",N,A táblában feltüntetett sebességet (5 km/óra) tilos túllépni!,I,Tilos a veszteglés a táblától mért (5 méter) szélességben!,N,teszt-3373.jpg,teszt-3373.jpg
331,Melyik jelzéssel korlátozzák a hajók sebességét?,1,N,2,I,3,N,xxx-0220.jpg,xxx-0220.jpg
332,Melyik tábla jelent hangjeladási kötelezettséget?,1,N,2,I,3,N,xxx-0226.jpg,xxx-0226.jpg
333,Melyik tábla jelent fokozott elővigyázatosságot?,1,I,2,N,3,N,xxx-0226.jpg,xxx-0226.jpg
334,Mit jelent a tábla?,"A mellékágba behajózni vagy azt keresztezni csak abban az esetben szabad, ha az ott haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!",N,"Az elért út azon víziút mellékvíziúzjának tekintendő, amelyen a hajó halad!",N,"A főágba kihajózni vagy azt keresztezni csak abban az esetben szabad, ha a főágban haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!",I,teszt-3377.jpg,teszt-3377.jpg
335,Mit jelent a tábla?,"A mellékágba behajózni vagy azt keresztezni csak abban az esetben szabad, ha az ott haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!",N,"Az elért út azon víziút mellékvíziúzjának tekintendő, amelyen a hajó halad!",N,"A főágba kihajózni vagy azt keresztezni csak abban az esetben szabad, ha a főágban haladó hajókat nem kényszeríti sebességük vagy útirányuk megváltoztatására!",I,xxx-0231.jpg,xxx-0231.jpg
336,"Hogyan jelzik a főágban haladó hajónak azt, hogy szükség esetén meg kell változtatnia sebességét vagy útirányát, hogy utat engedjen a kikötőből vagy a mellékvíziútból kihajózó hajónak?",Két villogó fehér fénnyel egymás mellett.,N,Függőlegesen elhelyezett két villogó sárga fénnyel.,I,Függőlegesen elhelyezett két állandó sárga fénnyel.,N,teszt-3379.jpg,teszt-3379.jpg
337,Mit jelent a tábla?,"Figyelem, hajózásra vonatkozó információk a rádiótelefonon!",N,Rádiótelefon használati tilalom!,N,Kötelező rádiótelefon-kapcsolatba lépni!,I,xxx-0234.jpg,xxx-0234.jpg
338,Mit jelent a tábla?,A hajó legfeljebb a táblában km/h-ban feltüntetett sebességgel haladhat!,N,Rádiótelefon használati tilalom a táblán feltüntetett csatornán!,N,Kötelező rádiótelefon-kapcsolatba lépni a jelzésen feltüntetett csatornán!,I,xxx-0235.jpg,xxx-0235.jpg
339,Mit jelent a tábla?,A hajó legfeljebb a táblában km/h-ban feltüntetett sebességgel haladhat!,N,Rádiótelefon használati tilalom a táblán feltüntetett csatornán!,N,Kötelező rádiótelefon-kapcsolatba lépni a jelzésen feltüntetett csatornán!,I,xxx-0236.jpg,xxx-0236.jpg
340,Völgymenetben a Rákóczi híd felé hajózik. Mit jelölnek az 1-es számmal jelzett táblák? Az 1-es táblákkal jelzett hídnyílásokban,történő áthajózásnál a fokozott elővigyázat!,N,tilos az áthaladás!,N,a vízmélység korlátozott!,I,teszt-3381.jpg,teszt-3381.jpg
341,Melyik tábla jelzi a korlátozott vízmélységet?,1,I,2,N,3,N,xxx-0240.jpg,xxx-0240.jpg
342,Melyik tábla jelzi a korlátozott vízmélységet?,1,N,2,N,3,I,xxx-0241.jpg,xxx-0241.jpg
343,A Csongrád-i pontonhíd felé hajózik. Mit jelent az 1-es számú tábla?,Fokozott elővigyázat!,N,Vízfelszín fölé nyúló akadály!,N,A vízfelszín feletti szabad magasság korlátozott!,I,teszt-3383.jpg,teszt-3383.jpg
344,Melyik tábla jelzi a vízszínt feletti szabad magasság korlátozottságát?,1,N,2,N,3,I,xxx-0246.jpg,xxx-0246.jpg
345,Mit jelent az 1-es számú tábla?,"Figyelem, mindkét parton akadály található!",N,Az átjáró- vagy hajóútszélesség korlátozott!,I,"Figyelem, erős oldalirányú áramlás várható!",N,teszt-3384.jpg,teszt-3384.jpg
346,Melyik tábla jelzi az átjáró- vagy hajóútszélesség korlátozottságát?,1,N,2,N,3,I,xxx-0253.jpg,xxx-0253.jpg
347,Mit jelent az 1-es számú tábla?,"Hajózási korlátozások, tudakozódjék!",I,"Köteles megállni, hajózási zárlat!",N,Fokozott elővigyázat!,N,teszt-3386.jpg,teszt-3386.jpg
348,"Melyik tábla jelzi a hajózási korlátozásokra, tudakozódásra vonatkozó figyelemfelhívást?",1,N,2,I,3,N,xxx-0257.jpg,xxx-0257.jpg
349,Mit jelent a tábla?,A mentirány szerinti bal parttól számítva a hajóút mélysége a jelzésen feltüntetett érték deciméterben kifejezve!,N,A menetirány szerinti bal parttól a jelzésen méterben feltüntetett szélességen belül hajózási akadály!,N,"A hajóút eltávolodik a mentirány szerinti bal parttól, a jelzésen feltüntetett szám mutatja méterben azt a jelzéstől mért távolságot, amelyet a hajóknak tartaniuk kell!",I,xxx-0258.jpg,xxx-0258.jpg
350,Mit jelent a parton látható tábla?,"Hajózási korlátozások, tudakozódjék!",N,A hajóút 40 m-re eltávolodik a menetirány szerinti jobb parttól!,I,A menetirány szerinti jobb parttól számított 40 méter szélességben tilos vesztegelni!,N,teszt-2593.jpg,teszt-2593.jpg
351,Mit jelent a parton látható tábla?,A hajóút 40 m-re eltávolodik a menetirány szerinti bal parttól!,I,A menetirány szerinti bal parttól számított 40 méter szélességben tilos vesztegelni!,N,"Hajózási korlátozások, tudakozódjék!",N,teszt-2594.jpg,teszt-2594.jpg
352,"Válassza ki azt a táblát, amelyik a vízisízést tiltja!",1,N,2,I,3,N,xxx-0265.jpg,xxx-0265.jpg
353,"Válassza ki azt a táblát, amelyik a vitorlás hajóval való közlekedés tiltja?",1,I,2,N,3,N,xxx-0265.jpg,xxx-0265.jpg
354,"Válassza ki azt a táblát, amelyik a vitorlás deszkával való közlekedés tiltja?",1,N,2,N,3,I,xxx-0265.jpg,xxx-0265.jpg
355,"Válassza ki azt a táblát, amelyik a hangjel adási kötelezettséget jelez! ",1,I,2,N,3,N,xxx-0260.jpg,xxx-0260.jpg
356,"Válassza ki azt a táblát, amelyik a hajózási korlátozásra utal! ",1,N,2,I,3,N,xxx-0260.jpg,xxx-0260.jpg
357,"Válassza ki azt a táblát, amelyik kötelező haladási irányt jelez! ",1,I,2,N,3,N,xxx-0266.jpg,xxx-0266.jpg
358,"Válassza ki azt a táblát, amelyik tilt mindenféle előzést! ",1,N,2,N,3,I,xxx-0266.jpg,xxx-0266.jpg
359,"Válassza ki azt a táblát, amelyik az ajánlott haladási irányt jelzi!",1,N,2,I,3,N,xxx-0266.jpg,xxx-0266.jpg
360,"Válassza ki azt a táblát, amelyik kötelező haladási irányt jelez! ",1,N,2,I,3,N,xxx-0267.jpg,xxx-0267.jpg
361,"Válassza ki azt a táblát, amelyik fokozott elővigyázatosságot jelez! ",1,N,2,N,3,I,xxx-0267.jpg,xxx-0267.jpg
362,"Válassza ki azt a táblát, amelyik kötelékek egymás közötti előzését tiltja! ",1,I,2,N,3,N,xxx-0267.jpg,xxx-0267.jpg
363,Melyik tábla jelenti a kötelező haladási irányt?,1,N,2,N,3,I,xxx-0268.jpg,xxx-0268.jpg
364,"Válassza ki azt a táblát, amelyik találkozási és előzési tilalmat jelez!",1,N,2,I,3,N,xxx-0268.jpg,xxx-0268.jpg
365,"Válassza ki azt a táblát, amelyik kötelező haladási irányt jelez? ",1,N,2,I,3,N,xxx-0269.jpg,xxx-0269.jpg
366,"Válassza ki azt a táblát, amelyik kötelékek egymás közötti találkozását és előzését tiltja! ",1,N,2,N,3,I,xxx-0269.jpg,xxx-0269.jpg
367,"Válassza ki azt a táblát, amelyik kötelező haladási irányt jelez? ",1,I,2,N,3,N,xxx-0270.jpg,xxx-0270.jpg
368,"Válassza ki azt a táblát, amelyik kötelékek egymás közötti előzését tiltja! ",1,N,2,I,3,N,xxx-0270.jpg,xxx-0270.jpg
369,"Válassza ki azt a táblát, amelyik fokozott elővigyázatosságot jelez!",1,N,2,N,3,I,xxx-0270.jpg,xxx-0270.jpg
370,"Válassza ki azt a táblát, amelyik a kötelező haladási irányt jelez? ",1,N,2,N,3,I,xxx-0271.jpg,xxx-0271.jpg
371,"Válassza ki azt a táblát, amelyik kötelékek egymás közötti előzési tilalmát jelzi! ",1,N,2,I,3,N,xxx-0271.jpg,xxx-0271.jpg
372,"Válassza ki azt a táblát, amelyik azt jelzi, hogy a hajóút eltávolodik a menetirány szerinti jobb parttól!",1,I,2,N,3,N,xxx-0271.jpg,xxx-0271.jpg
373,"Válassza ki azt a táblát, amelyik fokozott elővigyázatosságot jelez!",1,I,2,N,3,N,xxx-0226.jpg,xxx-0226.jpg
374,"Válassza ki azt a táblát, amelyik a vízfelszín feletti magasság korlátozását jelzi!",1,I,2,N,3,N,xxx-0272.jpg,xxx-0272.jpg
375,"Válassza ki azt a táblát, amelyik általános hajózási korlátozást jelez!",1,N,2,N,3,I,xxx-0272.jpg,xxx-0272.jpg
376,"Válassza ki azt a táblát, amelyik az átjáró- vagy hajóútszélesség korlátozottságát jelzi!",1,N,2,I,3,N,xxx-0272.jpg,xxx-0272.jpg
377,"Válassza ki azt a jelzést, amelyik a vízfelszín feletti magasság korlátozását jelzi!",1,N,2,I,3,N,xxx-0273.jpg,xxx-0273.jpg
378,"Válassza ki azt a jelzést, amelyik az átjáró- vagy hajóútszélesség korlátozottságát jelzi!",1,N,2,N,3,I,xxx-0274.jpg,xxx-0274.jpg
379,"Válassza ki azt a jelzést, amelyik a kötelező haladási irányt jelez! ",1,I,2,N,3,N,xxx-0275.jpg,xxx-0275.jpg
380,"Válassza ki azt a jelzést amelyik azt jelzi, hogy hajóút eltávolodik a menetirány szerinti jobb parttól! ",1,N,2,N,3,I,xxx-0275.jpg,xxx-0275.jpg
381,"Válassza ki azt a táblát, amelyik az ajánlott haladási irányt jelzi!",1,N,2,I,3,N,xxx-0275.jpg,xxx-0275.jpg
382,"Válassza ki azt a táblát, amelyik az átjáró- vagy hajóútszélesség korlátozottságát jelzi! ",1,N,2,I,3,N,xxx-0276.jpg,xxx-0276.jpg
383,"Mit jelent a sárga rombusz alakú tábla, ha azt hídon vagy duzzasztóművön látja? ",A víziút tengelye.,N,Mindkét irányban ajánlott átjáró!,I,"Ajánlott átjáró, amely a jelzett oldal felől igénybe vehető, az ellenkező irányból az áthaladás tilos!",N,teszt-0208.jpg,teszt-0208.jpg
384,"Mit jelent a sárga fény hídon, duzzasztóművön észlelve éjszaka? ",Mindkét irányban ajánlott átjáró!,I,A víziút tengelye.,N,"Ajánlott átjáró csak a megadott irányban, az ellenkező irányban az áthaladás tilos!",N,teszt-0209.jpg,teszt-0209.jpg
385,Mit jelent a hídon látható 1-es számú tábla?,"Az ajánlott, egy irányból hajózható átjáró (hídnyílást) jelöli.",N,"Az ajánlott, mindkét irányból hajózható átjárót (hídnyílást) jelöli.",I,A hídnyílás magasság korlátozását jelöli.,N,teszt-3387.jpg,teszt-3387.jpg
386,"Mit jelent a két sárga rombusz alakú tábla, ha azt hídon vagy duzzasztóművön látja? ",Ajánlott átjáró csak a megadott irányban (az ellenkező irányban az áthaladás tilos)!,I,A víziút tengelyét jelölik.,N,Mindkét irányból használható átjáró!,N,teszt-0210.jpg,teszt-0210.jpg
387,"Mit jelent a két sárga fény éjszaka hídon, duzzasztóművön észlelve?","Kétnyílásos átjáró, amely csak a megadott irányból vehető igénybe!",N,Mindkét irányból ajánlott átjáró!,N,Ajánlott átjáró csak a megadott irányban (az ellenkező irányban az áthaladás tilos)!,I,teszt-3389.jpg,teszt-3389.jpg
388,Mit jelent a hídon látható két rombusz alakú tábla?,A jelzett területen belül köteles maradni hídnyíláson való áthaladásnál!,N,Ajánlatos a jelzett területen maradni hídnyíláson alatt való áthaladásnál!,I,A jelzett területen biztosított az előírt szabad magasság.,N,teszt-3390.jpg,teszt-3390.jpg
389,Mit jelölnek a hídon látható 2-es számú táblák? A 2-es számú táblák,a hajóút jobb és bal szélét jelölik.,N,"azt a szélességet jelölik, amelyen túl tilos a hídnyílás alatti áthajózás során az átjárót igénybe!",N,"azt a szélességet jelölik, amelyen ajánlott a hídnyílás alatt történő áthajózás során belül maradni!",I,teszt-3391.jpg,teszt-3391.jpg
390,"Mit jelent a két zöld fény éjszaka hídon, duzzasztóművön észlelve?",A hídpilléreket jelző éjszakai fények.,N,A jelzett területen belül köteles maradni!,N,Ajánlott a jelzett területen maradni!,I,xxx-0296.jpg,xxx-0296.jpg
391,Mit jelölnek a hídon látható 2-es számú táblák? A 2-es számú táblák,"azt a szélességet jelölik, amelyen belül ajánlott a hídnyílás alatt történő áthajózás!",N,"azt a szélességet jelölik, amelyen túl tilos a hídnyílást az áthajózás során igénybe venni!",I,a hídnyílás alatti áthajózás során a hajóút jobb és bal szélét jelölik.,N,teszt-3392.jpg,teszt-3392.jpg
392,Völgymenetben a Rákóczi híd felé hajózik. Mit jelentenek a C-vel jelzett hídnyílás felett elhelyezett táblák?,"Mindkét irányból hajózható hídnyílás, ajánlott a szélső (zöld-fehér) táblák által jelzett területen belül maradni!",N,"Egy irányból hajózható hídnyílás, ajánlott a szélső (zöld-fehér) táblák által jelzett területen belül maradni!",I,"Egy irányból hajózható hídnyílás, tilos a szélső (zöld-fehér) táblákkal által jelzett területen belül maradni!",N,teszt-3393.jpg,teszt-3393.jpg
393,"Válassza ki azt a jelzést, amelyik az egyirányú átjárót jelzi! ",1,N,2,N,3,I,xxx-0297.jpg,xxx-0297.jpg
394,"Válassza ki azt a jelzést, amelyik az egyirányú átjárót jelzi! ",1,I,2,N,3,N,xxx-0298.jpg,xxx-0298.jpg
395,"Válassza ki azt a jelzést, amelyik a kétirányú átjárót jelzi! ",1,N,2,N,3,I,xxx-0273.jpg,xxx-0273.jpg
396,"Válassza ki azt a jelzést, amelyik az egyirányú átjárót jelzi!",1,N,2,I,3,N,xxx-0274.jpg,xxx-0274.jpg
397,"Válassza ki azt a jelzést, amelyik az egyirányú átjárót jelzi! ",1,N,2,N,3,I,xxx-0299.jpg,xxx-0299.jpg
398,"Válassza ki azt a jelzést, amelyik azt jelzi, hogy ajánlatos a jelzett területen belül maradni híd- és duzzasztómű nyílásán való áthaladásnál! ",1,I,2,N,3,N,xxx-0274.jpg,xxx-0274.jpg
399,"Válassza ki azt a jelzést, amelyik azt jelzi, hogy ajánlatos a jelzett területen belül maradni híd- és duzzasztómű nyílásán való áthaladásnál! ",1,N,2,N,3,I,xxx-0298.jpg,xxx-0298.jpg
400,"Válassza ki azt a fényjelzést, amelyik a kétirányú átjárót jelzi! ",1,N,2,I,3,N,xxx-0301.jpg,xxx-0301.jpg
401,"Válassza ki azt a fényjelzést, amelyik az egyirányú átjárót jelzi! ",1,I,2,N,3,N,xxx-0302.jpg,xxx-0302.jpg
402,"Válassza ki azt a fényjelzést, amelyik az egyirányú átjárót jelzi! ",1,N,2,I,3,N,xxx-0303.jpg,xxx-0303.jpg
403,"Válassza ki azt a fényjelzést, amelyik a kétirányú átjárót jelzi!",1,N,2,N,3,I,xxx-0303.jpg,xxx-0303.jpg
404,Mit jelent a tábla?,Köteles a nyíllal jelzett irányban haladni!,N,Ajánlatos a nyíllal jelzett irányban haladni!,I,"Figyelem, hajózási információ a jelzett irányban!",N,xxx-0304.jpg,xxx-0304.jpg
405,Mit jelent a tábla?,Köteles a nyíllal jelzett irányban haladni!,N,Ajánlatos a nyíllal jelzett irányban haladni!,I,"Figyelem, hajózási információ a jelzett irányban!",N,xxx-0306.jpg,xxx-0306.jpg
406,"Mit jelet az a fényjelzés, amely egy állandó és egy villogó fehér fényből áll?",Ajánlatos az állandó fénytől a villogó fény irányába haladni!,I,Ajánlatos az villogó fénytől az állandó fény irányába haladni!,N,Köteles az állandó fénytől a villogó fény irányába haladni!,N,xxx-0305.jpg,xxx-0305.jpg
407,"Mit jelet az a fényjelzés, amely egy állandó és egy villogó fehér fényből áll? ",Ajánlatos az állandó fénytől a villogó fény irányába haladni!,I,Ajánlatos az villogó fénytől az állandó fény irányába haladni!,N,Köteles az állandó fénytől a villogó fény irányába haladni!,N,xxx-0307.jpg,xxx-0307.jpg
408,"Válassza ki azt a táblát, amelyik ajánlott haladási irányt jelez? ",1,I,2,N,3,N,xxx-0308.jpg,xxx-0308.jpg
409,"Válassza ki azt a táblát, amelyik ajánlott haladási irányt jelez? ",1,I,2,N,3,N,xxx-0309.jpg,xxx-0309.jpg
410,"Válassza ki azt a táblát, amelyik a kötelező haladási irányt jelez! ",1,I,2,N,3,N,xxx-0310.jpg,xxx-0310.jpg
411,"Válassza ki azt a táblát, amelyik ajánlott haladási irányt jelez! ",1,N,2,I,3,N,xxx-0310.jpg,xxx-0310.jpg
412,"Válassza ki azt a táblát, amelyik sebességkorlátozást jelez?",1,N,2,N,3,I,xxx-0310.jpg,xxx-0310.jpg
413,Mit jelent a tábla?,"Bal parti irányjel, a hajóút helyét jelzi a bal part közelében.",N,Az áthaladás engedélyezett!,I,A tábla hajózható mellékágat jelöl.,N,xxx-0313.jpg,xxx-0313.jpg
414,Mit jelent az egy vagy a két egymás mellett elhelyezett állandó zöld fény?,Az állandó zöld fény vagy fények hajózható mellékágat jelölnek.,N,Az áthaladás engedélyezett!,I,A hajóút tengelyét jelzik hídnyíláson elhelyezve.,N,teszt-2595.jpg,teszt-2595.jpg
415,Mit jelent az egy vagy a két függőleges vonalban elhelyezett állandó zöld fény?,Az állandó zöld fény vagy fények hajózható mellékágat jelölnek.,N,Az áthaladás engedélyezett!,I,A hajóút tengelyét jelzik hídnyíláson elhelyezve.,N,teszt-2596.jpg,teszt-2596.jpg
